Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Argentina,-0.03427993149064055,-0.04074993930854993,-0.03176089205099677,-0.04111983887838462,-0.04848276128576764,-0.054625154834683436,-0.04737842581207347,-0.05367635770076215,2023-09-03,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.049655650230996023,-0.05521824680032781,-0.04583134166163389,-0.059388174881068026,-0.0702289337216516,-0.07297053314922303,-0.06845398718760454,-0.07757678384260341,2023-09-03,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.038223569302311924,-0.038306829187125566,-0.03511712916012414,-0.04555281073255999,-0.05406032350093697,-0.05700832349568241,-0.05253142652690803,-0.05955390732317359,2023-09-03,0.0
Argentina/Energía y Petróleo/ypf,-0.0456595653240708,-0.06224138076972135,-0.04266745180285871,-0.05513328618607045,-0.06457719457879445,-0.08134012097691998,-0.06346951876585609,-0.07185814982535073,2023-09-03,0.0
Argentina,-0.03417980679464029,-0.04074378778947195,-0.0317535469698831,-0.04108516178378352,-0.048341153017492186,-0.05461256308646471,-0.047325470237243775,-0.05360500835715413,2023-09-04,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.04938922205068363,-0.05521824680032781,-0.04578303753543056,-0.059267131350816016,-0.06985211926187317,-0.07297053314922303,-0.06828430089737157,-0.07735814904196238,2023-09-04,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.038176570985268735,-0.038306829187125566,-0.03515561245063463,-0.0455784626868019,-0.05399385288425386,-0.05700832349568241,-0.0525484978278093,-0.05956234403591585,2023-09-04,0.0
Argentina/Energía y Petróleo/ypf,-0.04565096215635108,-0.06224138076972135,-0.042703574916946985,-0.055167060489713336,-0.06456502695451052,-0.08134012097691998,-0.06350172235793995,-0.07188877283296273,2023-09-04,0.0
Argentina,-0.0341798067946403,-0.04074378778947195,-0.0317535469698831,-0.041085161783783526,-0.04834115301749219,-0.05461256308646472,-0.04732547023724378,-0.05360500835715413,2023-09-05,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.04938922205068363,-0.05521824680032781,-0.04578303753543056,-0.059267131350816016,-0.06985211926187317,-0.07297053314922303,-0.06828430089737157,-0.07735814904196238,2023-09-05,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.038176570985268735,-0.038306829187125566,-0.03515561245063463,-0.0455784626868019,-0.05399385288425386,-0.05700832349568241,-0.0525484978278093,-0.05956234403591585,2023-09-05,0.0
Argentina/Energía y Petróleo/ypf,-0.045650962156351074,-0.06224138076972135,-0.042703574916946985,-0.05516706048971333,-0.06456502695451052,-0.08134012097691998,-0.06350172235793994,-0.07188877283296272,2023-09-05,0.0
Argentina,-0.03429610545713671,-0.04072993561546776,-0.03196275477943269,-0.04132607071120039,-0.048505636435237864,-0.05458889169593482,-0.047587589578467614,-0.05388847673744107,2023-09-06,-0.0437997986976866
Argentina/Servicios Financieros y Bancarios/ggal,-0.049634347778465496,-0.05521824680032781,-0.04620601077472094,-0.05975702806394818,-0.07019880525651388,-0.07297053314922303,-0.06881895110440094,-0.07793783404682561,2023-09-06,0.0094327917345542
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.038183284000646536,-0.038306829187125566,-0.0351228947769972,-0.04554757778001887,-0.05400334723001002,-0.05700832349568241,-0.0525188385406112,-0.05953391807209483,2023-09-06,-0.0394088964189563
Argentina/Energía y Petróleo/ypf,-0.0458625662370984,-0.06224138076972135,-0.04307536720949724,-0.05559662427891902,-0.0648643026440424,-0.08134012097691998,-0.0639699194722643,-0.07239584610722144,2023-09-06,-0.0243460481160893
Argentina,-0.034211350878232766,-0.040691159718296725,-0.03200984816754804,-0.041350021936315824,-0.04838576641688623,-0.05453308664307857,-0.04759606556652912,-0.05388138049274839,2023-09-07,-0.014277202780667
