Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Brasil,-0.023849727847632184,-0.026412837804986686,-0.022556698908136906,-0.029066852764260215,-0.03373112522943579,-0.0417895172642864,-0.03342063098134681,-0.037801904073407055,2023-09-03,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.029269572705981624,-0.031059195439509923,-0.02764261476677641,-0.03563370367072158,-0.041396515241810664,-0.04854233251469556,-0.040977555804578354,-0.04635499741964547,2023-09-03,0.0
Brasil/Energía y Petróleo/pbr,-0.03204337819037435,-0.037310165552894785,-0.02894970420496242,-0.03769808896869658,-0.045319561272100524,-0.053728838762952674,-0.04354836483840947,-0.049435413381931234,2023-09-03,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.028754496383881153,-0.03129156279656652,-0.028669397365274917,-0.036519861712668876,-0.04066803297004281,-0.055726228801624235,-0.04176967449273647,-0.047052485657362045,2023-09-03,0.0
Brasil,-0.023665238423332482,-0.025879649312908714,-0.02247033548965245,-0.028930049810901307,-0.03347019831595834,-0.04170730453131863,-0.03325011242299196,-0.03759746527112629,2023-09-04,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.028987093164748262,-0.03011013456304463,-0.02752853873229765,-0.03544250593890146,-0.04099699903596674,-0.04854233251469556,-0.04073478475754949,-0.04606032888659275,2023-09-04,0.0
Brasil/Energía y Petróleo/pbr,-0.032017478819824204,-0.037310165552894785,-0.028985994019495195,-0.037727307816573935,-0.04528293129808272,-0.053728838762952674,-0.043572855144193984,-0.04945514542375339,2023-09-04,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.02852767221264592,-0.030351456899171472,-0.028585847323010165,-0.036374384831358256,-0.040347231216082406,-0.055726228801624235,-0.041582785499139775,-0.046823924250233524,2023-09-04,0.0
Brasil,-0.023665238423332482,-0.025879649312908714,-0.02247033548965245,-0.028930049810901307,-0.03347019831595834,-0.04170730453131862,-0.03325011242299196,-0.0375974652711263,2023-09-05,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.028987093164748262,-0.03011013456304463,-0.02752853873229765,-0.03544250593890146,-0.04099699903596674,-0.04854233251469556,-0.04073478475754949,-0.04606032888659275,2023-09-05,0.0
Brasil/Energía y Petróleo/pbr,-0.032017478819824204,-0.037310165552894785,-0.028985994019495195,-0.037727307816573935,-0.04528293129808272,-0.053728838762952674,-0.043572855144193984,-0.04945514542375339,2023-09-05,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.02852767221264592,-0.030351456899171472,-0.028585847323010165,-0.036374384831358256,-0.040347231216082406,-0.055726228801624235,-0.041582785499139775,-0.046823924250233524,2023-09-05,0.0
Brasil,-0.023679075831348637,-0.02580384651974712,-0.022510278479438067,-0.02897366494850122,-0.03348976882618075,-0.04159524489538232,-0.033296205894700004,-0.03764606368848293,2023-09-06,-0.0340502419914012
Brasil/Servicios Financieros y Bancarios/itub,-0.029223657773911324,-0.03011013456304463,-0.02790249016083979,-0.03588104351095648,-0.0413315768771694,-0.04854233251469556,-0.041216512788999654,-0.046585518856717044,2023-09-06,0.021394094169318
Brasil/Energía y Petróleo/pbr,-0.032079661068790205,-0.037310165552894785,-0.028957854202556726,-0.03771614480639401,-0.045370876839445705,-0.053728838762952674,-0.043573044972921644,-0.04946675945114179,2023-09-06,-0.0078627347017071
Brasil/ Minería y Recursos Naturales/vale,-0.028538014774960433,-0.030351456899171472,-0.02862875501338018,-0.03642011621634726,-0.04036185889933535,-0.055726228801624235,-0.04163040516327276,-0.046873444062535914,2023-09-06,-0.0067712312328508
Brasil,-0.023692725387254934,-0.025797874649333294,-0.022543708664717284,-0.029010721125682808,-0.03350907365357933,-0.04158795519910592,-0.03333570845517226,-0.03768803851034984,2023-09-07,-0.0111317184570269
Brasil/Servicios Financieros y Bancarios/itub,-0.029239574195392724,-0.03011013456304463,-0.027999354588873097,-0.03598225339153083,-0.04135408777581041,-0.04854233251469556,-0.041320628588418506,-0.046692558840513196,2023-09-07,0.008783791403077
Brasil/Energía y Petróleo/pbr,-0.03207924481383717,-0.037310165552894785,-0.028904634125473054,-0.03766281108466066,-0.045370288122122064,-0.053728838762952674,-0.043519635254010564,-0.049413273257362784,2023-09-07,-0.0187320048082224
Brasil/ Minería y Recursos Naturales/vale,-0.028592286597867847,-0.030351456899171472,-0.02872701629950198,-0.036533194628984335,-0.040438616574165656,-0.055726228801624235,-0.041753392179618036,-0.0470064019644134,2023-09-07,-0.0069563775145168
Brasil,-0.02365838217439788,-0.025741710597388074,-0.022662262814497455,-0.029119853660399587,-0.03346050139224941,-0.04154569788052979,-0.03343854880665637,-0.03778455157926997,2023-09-08,-0.0056284239338048
Brasil/Servicios Financieros y Bancarios/itub,-0.02906638263108677,-0.029988049783808327,-0.0279825684850009,-0.035918183058343614,-0.041109139641324004,-0.04854233251469556,-0.041224938042672014,-0.046565049329227545,2023-09-08,-0.0247823093098539
Brasil/Energía y Petróleo/pbr,-0.03215281892371474,-0.037310165552894785,-0.029165520489059918,-0.037943784425907436,-0.04547434538976803,-0.053728838762952674,-0.0438140412875626,-0.04972119641616368,2023-09-08,-0.0323054026490721
Brasil/ Minería y Recursos Naturales/vale,-0.028655841813356113,-0.030351456899171472,-0.029028612908404843,-0.036852142887751634,-0.04052850392828199,-0.055726228801624235,-0.0420839439447746,-0.047348630171315596,2023-09-08,-0.0206963248446011
Brasil,-0.023649357342038376,-0.02575098944594226,-0.02266164168472637,-0.02911684948395504,-0.03344773739961865,-0.04156372575170795,-0.03343393351552567,-0.03777830657188679,2023-09-09,0.0075471643265128
Brasil/Servicios Financieros y Bancarios/itub,-0.029001040135988705,-0.029988049783808327,-0.027970857559316456,-0.0358886325252013,-0.0410167245035481,-0.04854233251469556,-0.041183457693014486,-0.046511564176633456,2023-09-09,0.008241750144279
Brasil/Energía y Petróleo/pbr,-0.032129379789275325,-0.037310165552894785,-0.029171981368681606,-0.037943846024985524,-0.045441194974631366,-0.053728838762952674,-0.04380982351878493,-0.04971267238100413,2023-09-09,0.0098634378930833
Brasil/ Minería y Recursos Naturales/vale,-0.02867748304340382,-0.030351456899171472,-0.028994826264248368,-0.036824264665799994,-0.04055911153292729,-0.055726228801624235,-0.042060016840747755,-0.04732867902048181,2023-09-09,0.0084652762800788
Brasil,-0.023583363600741074,-0.02575211350509222,-0.022653948373639276,-0.029091122606214083,-0.033354401191915156,-0.041565817859531486,-0.03339615006556011,-0.037728392350399334,2023-09-10,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.028999907993541078,-0.029988049783808327,-0.027961527520345714,-0.03587899339217436,-0.04101512329287927,-0.04854233251469556,-0.041173611860631336,-0.04650151034565828,2023-09-10,0.0
Brasil/Energía y Petróleo/pbr,-0.03201964202159363,-0.037310165552894785,-0.029178212617632242,-0.03792011700541862,-0.04528599075562651,-0.053728838762952674,-0.04376605927663786,-0.04964874698226609,2023-09-10,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.028525443979615244,-0.030351456899171472,-0.028957403826859088,-0.0367453329898642,-0.0403440797835848,-0.055726228801624235,-0.04195332684105311,-0.04719405621845535,2023-09-10,0.0
