Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Chile,-0.019035069980772718,-0.02047568713480332,-0.018478670898251465,-0.023674016925942006,-0.02692166272816669,-0.031135232004762394,-0.027148613114490062,-0.03064521087150809,2023-09-03,0.0
Chile/Venta al por menor/cencosud,-0.018875811805447066,-0.025159815251385685,-0.01677433358210438,-0.021927749786251408,-0.02669642085161193,-0.035275177336199656,-0.025373975264432136,-0.028841862443394706,2023-09-03,0.0
Chile/Energía Eléctrica/enel,-0.023486874955731766,-0.02588699768153788,-0.02321406103353547,-0.029626375546372197,-0.03321793545994452,-0.042435099762289305,-0.03391445956148885,-0.038229496889280755,2023-09-03,0.0
Chile/Industria Química/sqm,-0.04009405458381001,-0.03912038590023823,-0.03969602667958681,-0.050642382402551596,-0.0567057865298282,-0.05964652592652513,-0.05796249948437278,-0.06532862811909969,2023-09-03,0.0
Chile,-0.01901502638836308,-0.020502318221934938,-0.01844851241585701,-0.023638303475470406,-0.026893314692921305,-0.031177216543234562,-0.027109202716084246,-0.030602088935562956,2023-09-04,0.0
Chile/Venta al por menor/cencosud,-0.01881502358191788,-0.025159815251385685,-0.016662337669198054,-0.021799157659132654,-0.026610446907026998,-0.035275177336199656,-0.02523428481068993,-0.02869100390304613,2023-09-04,0.0
Chile/Energía Eléctrica/enel,-0.02332347113076281,-0.02588699768153788,-0.0229449547556618,-0.029312657257736074,-0.03298683031198603,-0.042435099762289305,-0.03357090804339248,-0.03785592462106016,2023-09-04,0.0
Chile/Industria Química/sqm,-0.04006046908421685,-0.03912038590023823,-0.03972571129540892,-0.05066289760835778,-0.05665828591682717,-0.05964652592652513,-0.05797688286360702,-0.06533684112936446,2023-09-04,0.0
Chile,-0.01901502638836308,-0.02050231822193494,-0.01844851241585701,-0.02363830347547041,-0.02689331469292131,-0.03117721654323457,-0.02710920271608425,-0.03060208893556296,2023-09-05,0.0
Chile/Venta al por menor/cencosud,-0.01881502358191788,-0.025159815251385685,-0.016662337669198054,-0.021799157659132654,-0.026610446907026998,-0.035275177336199656,-0.02523428481068993,-0.02869100390304613,2023-09-05,0.0
Chile/Energía Eléctrica/enel,-0.02332347113076281,-0.02588699768153788,-0.0229449547556618,-0.029312657257736074,-0.03298683031198603,-0.042435099762289305,-0.03357090804339248,-0.03785592462106016,2023-09-05,0.0
Chile/Industria Química/sqm,-0.04006046908421685,-0.03912038590023823,-0.03972571129540892,-0.05066289760835778,-0.05665828591682717,-0.05964652592652513,-0.05797688286360702,-0.06533684112936446,2023-09-05,0.0
Chile,-0.019047138752011993,-0.020514886711513025,-0.018502170371628265,-0.023700800856225047,-0.026938731821643903,-0.03119650353393831,-0.027177595550478526,-0.03067640669916301,2023-09-06,-0.0130434782608696
Chile/Venta al por menor/cencosud,-0.018879970967679273,-0.025159815251385685,-0.016780400401321425,-0.021934952127175493,-0.026702303234128002,-0.035275177336199656,-0.025381936958702198,-0.028850588264025475,2023-09-06,-0.0162762937165394
Chile/Energía Eléctrica/enel,-0.023386900908483405,-0.02588699768153788,-0.023074998743164217,-0.02946001864846861,-0.033076540257073773,-0.042435099762289305,-0.03372985003888571,-0.03802652001271928,2023-09-06,-0.0009493888064349
Chile/Industria Química/sqm,-0.04006048176391205,-0.03912038590023823,-0.03972967952118026,-0.05066686929590058,-0.056658303849962066,-0.05964652592652513,-0.057980856866127806,-0.06534081746141432,2023-09-06,-0.0099888230586685
Chile,-0.01896716871215293,-0.02040588599182612,-0.018501542139963058,-0.023678351626894717,-0.02682562866816885,-0.031115973894308816,-0.02714055050555198,-0.030624672634464688,2023-09-07,-0.016464771153118
Chile/Venta al por menor/cencosud,-0.018978351061346863,-0.025159815251385685,-0.01695676499758806,-0.022138176154660114,-0.02684144407803137,-0.035275177336199656,-0.02560312259699527,-0.029089848413179933,2023-09-07,0.0065576460701497
Chile/Energía Eléctrica/enel,-0.023226008854727743,-0.025549409380676655,-0.02299996661664525,-0.029341060267254537,-0.032848987555075454,-0.042435099762289305,-0.03358151701139923,-0.03784862770078098,2023-09-07,-0.0152042935342512
Chile/Industria Química/sqm,-0.03997604715850259,-0.03912038590023823,-0.039826811029078445,-0.05074094872698253,-0.05653888637622987,-0.05964652592652513,-0.05803952076481298,-0.0653839689313585,2023-09-07,-0.0082867681436824
Chile,-0.0189782405426079,-0.02044580447100671,-0.01852393414789695,-0.02370370139055855,-0.02684128776926977,-0.031183288608481297,-0.02716789189745989,-0.030654024911091836,2023-09-08,0.0044230583517426
Chile/Venta al por menor/cencosud,-0.01897977798117437,-0.025159815251385685,-0.016939735429548203,-0.022121536159891958,-0.02684346219797393,-0.035275177336199656,-0.02558674312015957,-0.0290737310917962,2023-09-08,-0.001503396828016
Chile/Energía Eléctrica/enel,-0.023098739749767633,-0.025549409380676655,-0.022975501566455555,-0.02928184859665197,-0.03266898843119975,-0.042435099762289305,-0.033499069358332995,-0.03774279801244557,2023-09-08,-0.0207462352717288
Chile/Industria Química/sqm,-0.03995401463826866,-0.03912038590023823,-0.03979041018739692,-0.05069853263425051,-0.05650772536240705,-0.05964652592652513,-0.057993082114886546,-0.06533348243992851,2023-09-08,-0.0058827693368407
Chile,-0.01900340548165346,-0.0203889695974807,-0.018628747968302856,-0.023815213041148673,-0.026876879022795182,-0.03142959295207126,-0.027283918176644058,-0.030774611925229133,2023-09-09,-0.0066889632107023
Chile/Venta al por menor/cencosud,-0.01894352169429268,-0.025159815251385685,-0.016881396653481658,-0.022053298803661334,-0.02679218423954297,-0.035275177336199656,-0.025511886322027125,-0.028992213244394473,2023-09-09,-0.0040152731866155
Chile/Energía Eléctrica/enel,-0.02302434490397516,-0.025549409380676655,-0.022843870078919797,-0.02912990605665587,-0.03256377038108688,-0.042435099762289305,-0.03333354428129648,-0.037563605023556386,2023-09-09,-0.0262768679612287
Chile/Industria Química/sqm,-0.03958507874999686,-0.03830747803235701,-0.039772050632859594,-0.05057944733586134,-0.055985932295063316,-0.05964652592652513,-0.05780663885218398,-0.06507925782562189,2023-09-09,-0.0122037644383203
Chile,-0.018959238857746977,-0.020367218487407513,-0.018617499172808034,-0.023791914289923242,-0.02681441332375372,-0.03139572087717161,-0.02725255910150238,-0.03073514090977324,2023-09-10,0.0
Chile/Venta al por menor/cencosud,-0.018930853507697777,-0.025159815251385685,-0.01690401046030884,-0.02207245398106647,-0.02677426738148939,-0.035275177336199656,-0.025528728622621673,-0.02900672813028888,2023-09-10,0.0
Chile/Energía Eléctrica/enel,-0.0229104241779902,-0.025549409380676655,-0.0228204517988368,-0.029075385489618005,-0.032402650124328546,-0.042435099762289305,-0.03325822479379741,-0.03746735588126242,2023-09-10,0.0
Chile/Industria Química/sqm,-0.03957449749533598,-0.03830747803235701,-0.03979375522370086,-0.05059826306503181,-0.055970967024669846,-0.05964652592652513,-0.057823522723282374,-0.06509419769570174,2023-09-10,0.0
Chile,-0.018942926647272373,-0.020365502782089304,-0.018577228981080003,-0.023747269828343437,-0.026791342653186615,-0.03139144877115109,-0.027204972979983543,-0.030684586475006395,2023-09-11,0.0
Chile/Venta al por menor/cencosud,-0.0189302279868577,-0.025159815251385685,-0.016919484170458875,-0.022087756913436635,-0.026773382695428186,-0.035275177336199656,-0.025543917351381507,-0.02902180193759665,2023-09-11,0.0
Chile/Energía Eléctrica/enel,-0.022889554743067985,-0.025549409380676655,-0.022760313729155823,-0.029009549710868512,-0.03237313408425773,-0.042435099762289305,-0.033188578806560703,-0.03739387573597493,2023-09-11,0.0
Chile/Industria Química/sqm,-0.039540666001421955,-0.03830747803235701,-0.03969247681637559,-0.050487748087076144,-0.0559231184972064,-0.05964652592652513,-0.05770683100667868,-0.06497129041575175,2023-09-11,0.0
Chile,-0.018949890125321122,-0.020342216009134582,-0.018593456065874307,-0.023765534240843225,-0.02680119123307798,-0.03135819269010901,-0.02722457080997487,-0.030705511931718384,2023-09-12,-0.0190796857463524
Chile/Venta al por menor/cencosud,-0.0190570390668646,-0.025159815251385685,-0.01712338749956636,-0.022326281814390076,-0.026952734025871873,-0.035275177336199656,-0.02580559461152033,-0.029306777084101315,2023-09-12,-0.000201615321657
Chile/Energía Eléctrica/enel,-0.02288953432854188,-0.025549409380676655,-0.022761133765867993,-0.029010364174069422,-0.03237310521160388,-0.042435099762289305,-0.03318938954260748,-0.03739468272144005,2023-09-12,0.0050598622436852
Chile/Industria Química/sqm,-0.039545622176914506,-0.03830747803235701,-0.03967625618122337,-0.050472880571745066,-0.05593012811078633,-0.05964652592652513,-0.05769286835829758,-0.06495823832198014,2023-09-12,-0.004693074812027
Chile,-0.018979467641595364,-0.020349582876412295,-0.01865562197481965,-0.0238357261136397,-0.026843023278785,-0.03136993796407788,-0.027300139872979523,-0.030786497008740348,2023-09-13,-0.0011441647597254
Chile/Venta al por menor/cencosud,-0.019058494641181513,-0.025159815251385685,-0.01712958280521594,-0.02233287451647211,-0.026954792672405633,-0.035275177336199656,-0.02581245306308896,-0.02931390295555968,2023-09-13,-0.0045362596984452
Chile/Energía Eléctrica/enel,-0.022893914738835272,-0.025549409380676655,-0.022784332133000625,-0.02903475846737569,-0.03237930050947506,-0.042435099762289305,-0.03321458358332136,-0.03742068153647843,2023-09-13,-0.0241651052697043
Chile/Industria Química/sqm,-0.03962268465429591,-0.03830747803235701,-0.03985254421441181,-0.050670207965982574,-0.05603911904316298,-0.05964652592652513,-0.057904265328757865,-0.0651837933048239,2023-09-13,-0.0098490248101987
Chile,-0.019017095537687257,-0.020354489480018483,-0.01865538706384982,-0.023845813293912867,-0.02689624113029696,-0.031378514934051416,-0.027317119774628685,-0.030810407958796734,2023-09-14,0.0028636884306987
Chile/Venta al por menor/cencosud,-0.019058254177754867,-0.025159815251385685,-0.017117414869836558,-0.022320640930506026,-0.02695445258039246,-0.035275177336199656,-0.02580017557484222,-0.029301581289078758,2023-09-14,0.0043544334701344
Chile/Energía Eléctrica/enel,-0.02289928186074843,-0.025549409380676655,-0.022771453932464922,-0.029023345581991565,-0.03238689133241992,-0.042435099762289305,-0.03320415059286692,-0.03741123460021135,2023-09-14,0.0271710743748521
Chile/Industria Química/sqm,-0.03973516889495926,-0.03830747803235701,-0.03984968107818587,-0.05069805493189796,-0.056198207651317895,-0.05964652592652513,-0.05795264895079503,-0.06525284266881974,2023-09-14,0.0113484347709761
Chile,-0.018995321326654276,-0.02028594104641102,-0.018631740818104727,-0.02381614442638006,-0.026865445448106453,-0.031151123172139212,-0.02728343996748232,-0.03077270009885963,2023-09-15,0.0165619645916619
Chile/Venta al por menor/cencosud,-0.019113647291353304,-0.025159815251385685,-0.017134800016634345,-0.022353149335162,-0.027032796118045144,-0.035275177336199656,-0.025842797301318002,-0.029354379905980808,2023-09-15,0.0132082834700835
Chile/Energía Eléctrica/enel,-0.022546689396549524,-0.025080273526283406,-0.022535659138914702,-0.028691287076067485,-0.03188821308163101,-0.04111809121332139,-0.03280771800088704,-0.03695002329044189,2023-09-15,0.0217645947936313
Chile/Industria Química/sqm,-0.03978994255126977,-0.03830747803235701,-0.039856054438489906,-0.050719382427732704,-0.05627567507870689,-0.05964652592652513,-0.05798397667188398,-0.06529423347288608,2023-09-15,0.0170064981422743
Chile,-0.01893156056934405,-0.0201540281171564,-0.018612394956680045,-0.023779624761613855,-0.026775267392268872,-0.030930392565171373,-0.027235385637060742,-0.030713014195732434,2023-09-16,-0.0044943820224718
Chile/Venta al por menor/cencosud,-0.01878146640627163,-0.024566687279295656,-0.01697523209836756,-0.022102890411203276,-0.02656298635312461,-0.034242337361810246,-0.025531890907394425,-0.028982444834491226,2023-09-16,-0.012339515276441
Chile/Energía Eléctrica/enel,-0.022567325963009303,-0.025080273526283406,-0.0226374003162117,-0.02879866238540012,-0.03191739977139148,-0.04111809121332139,-0.03291886100306641,-0.03706495766779396,2023-09-16,0.0068818940200445
Chile/Industria Química/sqm,-0.03979621430770219,-0.03830747803235701,-0.03984634714356328,-0.05071138742849755,-0.05628454534351587,-0.05964652592652513,-0.05797712672998639,-0.06528853578573367,2023-09-16,-0.0032841610820265
Chile,-0.018916673790588798,-0.020151677785012347,-0.018578441483041917,-0.0237415413490846,-0.026754212736984567,-0.03092709024670732,-0.02719455453587412,-0.03066942499106752,2023-09-17,0.0
Chile/Venta al por menor/cencosud,-0.018726580285391814,-0.024566687279295656,-0.016871008969892243,-0.021983682442465714,-0.026485359864949033,-0.034242337361810246,-0.02540266218033801,-0.028843132362329493,2023-09-17,0.0
Chile/Energía Eléctrica/enel,-0.022567333463296986,-0.025080273526283406,-0.02263340124173638,-0.028794665358630324,-0.031917410379191484,-0.04111809121332139,-0.03291486534565136,-0.037060963388340924,2023-09-17,0.0
Chile/Industria Química/sqm,-0.0397886217413343,-0.03830747803235701,-0.03980499526054435,-0.0506679626463125,-0.056273807032009585,-0.05964652592652513,-0.057932315745399476,-0.06524232988558847,2023-09-17,0.0
Chile,-0.018912859504102125,-0.02023408343481827,-0.018593823298926337,-0.02375607211049872,-0.02674881811881681,-0.031136461460636297,-0.027208475659391523,-0.03068271284121122,2023-09-18,0.0
Chile/Venta al por menor/cencosud,-0.018553390417743586,-0.0243381696643349,-0.016806827164569004,-0.021872216871043744,-0.02624041413007802,-0.034242337361810246,-0.02525957670612172,-0.028668228234286077,2023-09-18,0.0
