Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Colombia,-0.02164598613421336,-0.023093498134264787,-0.02112705922988097,-0.027035044329519465,-0.03061433126920443,-0.035310705430157935,-0.03098623928469241,-0.034962450555607684,2023-09-03,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.032764019731481506,-0.037342998431114424,-0.03182829349626181,-0.04077342560170508,-0.046338778355998284,-0.050037819280704846,-0.0467552716134175,-0.052774717300267,2023-09-03,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.036026621498742376,-0.03310961497619312,-0.03653488887421196,-0.04637076650034477,-0.05095313829705652,-0.06453615563030524,-0.05294827755954655,-0.05956713242441507,2023-09-03,0.0
Colombia/Petróleo y Gas/ec,-0.032546284659810874,-0.035889534377564446,-0.030824109679723724,-0.03970979642418736,-0.04603083148900327,-0.051954603562050936,-0.045651889753513517,-0.05163133288729459,2023-09-03,0.0
Colombia,-0.02152534677608548,-0.023001565928803303,-0.02106836329775808,-0.026943726646541162,-0.030443708722791837,-0.0343422179810012,-0.030873039003488745,-0.03482719725674745,2023-09-04,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.032750961208440704,-0.037342998431114424,-0.03178061489919935,-0.040722181806762174,-0.046320309437660315,-0.050037819280704846,-0.04670164367652221,-0.0527186902355834,2023-09-04,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.036026621498742376,-0.03310961497619312,-0.03653488887421196,-0.04637076650034477,-0.05095313829705652,-0.06453615563030524,-0.05294827755954655,-0.05956713242441507,2023-09-04,0.0
Colombia/Petróleo y Gas/ec,-0.03161896850503548,-0.03503412384176442,-0.03022046314274769,-0.03885297687681886,-0.04471931055493471,-0.04677789533319656,-0.044625766729724806,-0.05043484220795094,2023-09-04,0.0
Colombia,-0.021525346776085478,-0.0230015659288033,-0.02106836329775808,-0.02694372664654116,-0.030443708722791837,-0.0343422179810012,-0.030873039003488745,-0.03482719725674744,2023-09-05,0.0
Colombia/Servicios Financieros y Bancarios/aval,-0.0327509612084407,-0.037342998431114424,-0.03178061489919935,-0.04072218180676217,-0.04632030943766031,-0.050037819280704846,-0.0467016436765222,-0.05271869023558339,2023-09-05,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.036026621498742376,-0.03310961497619312,-0.03653488887421196,-0.04637076650034477,-0.05095313829705652,-0.06453615563030524,-0.05294827755954655,-0.05956713242441507,2023-09-05,0.0
Colombia/Petróleo y Gas/ec,-0.03161896850503548,-0.03503412384176442,-0.03022046314274769,-0.03885297687681886,-0.04471931055493471,-0.04677789533319656,-0.044625766729724806,-0.05043484220795094,2023-09-05,0.0
Colombia,-0.021687393016641212,-0.02301969804614177,-0.02130056417179953,-0.027220109693899805,-0.030672893813207334,-0.034403670612461926,-0.031178979666654835,-0.03516288732400682,2023-09-06,-0.0508474113954185
Colombia/Servicios Financieros y Bancarios/aval,-0.03319899379983006,-0.037342998431114424,-0.03243200957522725,-0.04149589696575788,-0.04695397048165933,-0.050037819280704846,-0.04755715777203071,-0.05365651742551406,2023-09-06,-0.0298113207547169
Colombia/Servicios Financieros y Bancarios/bogota,-0.03615427415892003,-0.03310961497619312,-0.03678433295903894,-0.04665506192265289,-0.05113367989039594,-0.06453615563030524,-0.05325587899138666,-0.05989818635875697,2023-09-06,0.005089094131538
Colombia/Petróleo y Gas/ec,-0.03162213036168733,-0.03503412384176442,-0.03020236043926987,-0.038835737413739524,-0.044723782429136466,-0.04677789533319656,-0.04460910453829156,-0.050418760916680155,2023-09-06,-0.0249379805461371
Colombia,-0.021702677483080742,-0.023029358113147873,-0.02134212990300289,-0.027265788406444225,-0.030694510925772755,-0.034418709387388106,-0.03122742126047783,-0.035214115332393506,2023-09-07,-0.0133928443134135
Colombia/Servicios Financieros y Bancarios/aval,-0.03321764165177395,-0.037342998431114424,-0.032470944945413464,-0.041539923515246505,-0.046980344494528495,-0.050037819280704846,-0.04760458892753813,-0.0537073745871365,2023-09-07,-0.0178918708673667
Colombia/Servicios Financieros y Bancarios/bogota,-0.03619678339127765,-0.03310961497619312,-0.036900584973192124,-0.04678291967695201,-0.051193801508941136,-0.06453615563030524,-0.05339149781054056,-0.060041615025953426,2023-09-07,0.0067510481966861
Colombia/Petróleo y Gas/ec,-0.03159438643252776,-0.03503412384176442,-0.03020784087547185,-0.03883364328755599,-0.04468454366067685,-0.04677789533319656,-0.04460194510225433,-0.050406504332121946,2023-09-07,-0.008096110104751
Colombia,-0.021685651305783003,-0.023015088169036794,-0.021350340835078977,-0.027269339244181165,-0.03067043047830276,-0.03439785843700802,-0.031227857975952737,-0.035211419507232763,2023-09-08,0.0090497649689107
Colombia/Servicios Financieros y Bancarios/aval,-0.03320396156537801,-0.037342998431114424,-0.03247300918019777,-0.041538252854830884,-0.04696099648727579,-0.050037819280704846,-0.04760042064409219,-0.05370069298152414,2023-09-08,-0.0102970297029703
Colombia/Servicios Financieros y Bancarios/bogota,-0.036206704349926455,-0.03310961497619312,-0.036963664673180616,-0.04684870796662069,-0.051207832910084024,-0.06453615563030524,-0.05345909740564161,-0.060111037311683935,2023-09-08,-0.0033528885859015
Colombia/Petróleo y Gas/ec,-0.03158527842907437,-0.03503412384176442,-0.03025034634268818,-0.038873662115624395,-0.04467166203758081,-0.04677789533319656,-0.044640301049071324,-0.050443186945430034,2023-09-08,-0.0015180505955871
Colombia,-0.021742682657241927,-0.023063408210165746,-0.021363150542833362,-0.027297995693885004,-0.03075109100702472,-0.03447874859991362,-0.03126705350506179,-0.035261191773267996,2023-09-09,0.0089686012356282
