Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
México,-0.018593777619549754,-0.018519190265847956,-0.01759030299752728,-0.022666203068439104,-0.026297534520318692,-0.03010228821227723,-0.026060703626016528,-0.029476594914103756,2023-09-03,0.0
México/Telecomunicaciones/amx,-0.01991863401802771,-0.02138025570392552,-0.019451150932242662,-0.02488927525616479,-0.02817130420748583,-0.03289556339602853,-0.02852589257101191,-0.03218536831942091,2023-09-03,0.0
México/Bebidas y Comercio Minorista/fmx,-0.020170478503910183,-0.02102206708922731,-0.018212894879736225,-0.023719777012215084,-0.02852749266992516,-0.03419459963661202,-0.027402374489014072,-0.031108119413694072,2023-09-03,0.0
México/Servicios Financieros/gbooy,-0.032550894220035154,-0.030333121209975833,-0.03101863971146825,-0.03990558494391633,-0.046037350877994675,-0.050855014015453344,-0.04584851985738476,-0.051828809865195266,2023-09-03,0.0
México,-0.018366578639271956,-0.01827691716486291,-0.017462294035853577,-0.022476156474094372,-0.025976202666776745,-0.029970653894001355,-0.025829172284855942,-0.029203318881723343,2023-09-04,0.0
México/Telecomunicaciones/amx,-0.019827867706659955,-0.02138025570392552,-0.019436707606677938,-0.02485005119085682,-0.028042931681186177,-0.03289556339602853,-0.028470096970767054,-0.03211289702168987,2023-09-04,0.0
México/Bebidas y Comercio Minorista/fmx,-0.02006451860409179,-0.020619756953139626,-0.018196436367690336,-0.023674389653540396,-0.028377631561534042,-0.03419459963661202,-0.027337641646808224,-0.03102391948939121,2023-09-04,0.0
México/Servicios Financieros/gbooy,-0.032193008112063305,-0.030099041342167593,-0.030859495734516507,-0.03964873200021546,-0.04553118572579682,-0.050855014015453344,-0.04552632634786919,-0.051440865083196355,2023-09-04,0.0
México,-0.018366578639271956,-0.01827691716486291,-0.017462294035853573,-0.02247615647409437,-0.025976202666776745,-0.029970653894001355,-0.025829172284855942,-0.02920331888172334,2023-09-05,0.0
México/Telecomunicaciones/amx,-0.019827867706659955,-0.02138025570392552,-0.019436707606677938,-0.02485005119085682,-0.028042931681186177,-0.03289556339602853,-0.028470096970767054,-0.03211289702168987,2023-09-05,0.0
México/Bebidas y Comercio Minorista/fmx,-0.02006451860409179,-0.020619756953139626,-0.018196436367690336,-0.023674389653540396,-0.028377631561534042,-0.03419459963661202,-0.027337641646808224,-0.03102391948939121,2023-09-05,0.0
México/Servicios Financieros/gbooy,-0.0321930081120633,-0.030099041342167593,-0.0308594957345165,-0.039648732000215445,-0.04553118572579681,-0.050855014015453344,-0.04552632634786919,-0.05144086508319634,2023-09-05,0.0
México,-0.018545979318874133,-0.018351066908626423,-0.01771034407202063,-0.022773205035871158,-0.026229932471517795,-0.03009018725552936,-0.02615898299198312,-0.02956609559912686,2023-09-06,-0.0238980756645103
México/Telecomunicaciones/amx,-0.01998976403385296,-0.02138025570392552,-0.019695107009380205,-0.025152651031905667,-0.02827190474627191,-0.03289556339602853,-0.028802254811935157,-0.0324747986536512,2023-09-06,-0.0219829252160499
México/Bebidas y Comercio Minorista/fmx,-0.020218132204503712,-0.020619756953139626,-0.018438730427962728,-0.023958622827515527,-0.02859489020807048,-0.03419459963661202,-0.027649920613408912,-0.03136442053411354,2023-09-06,-0.0253640625789502
México/Servicios Financieros/gbooy,-0.032311872645518526,-0.030099041342167593,-0.03108178821887453,-0.03990347651466999,-0.045699298103805144,-0.050855014015453344,-0.045802772391660196,-0.05173914906412359,2023-09-06,-0.0235108709416384
México,-0.0185221404615462,-0.018341562576274242,-0.01770949354633123,-0.022765813945309823,-0.02619621672067182,-0.030075236802564458,-0.026147224900285152,-0.029549946403331046,2023-09-07,-0.0043525531751285
México/Telecomunicaciones/amx,-0.019977319917525355,-0.02138025570392552,-0.019733367838599185,-0.02518751440667925,-0.0282543047950734,-0.03289556339602853,-0.028834846219220205,-0.032505103812699054,2023-09-07,0.0036697387695312
México/Bebidas y Comercio Minorista/fmx,-0.020218201633818118,-0.020619756953139626,-0.018438568527662846,-0.023958479882593968,-0.028594988403274794,-0.03419459963661202,-0.027649790344449303,-0.031364303020792295,2023-09-07,0.0086747135024471
México/Servicios Financieros/gbooy,-0.03227040586423076,-0.030099041342167593,-0.031079839551502564,-0.039890206713943624,-0.04564065084370158,-0.050855014015453344,-0.04578193185015483,-0.05171069019495831,2023-09-07,0.0026373267019604
México,-0.018641654100177214,-0.018395884968379843,-0.017904065469965636,-0.02299299503424749,-0.026365247140517405,-0.030163413268442674,-0.02639621656658955,-0.02982088776877768,2023-09-08,-0.0142075591460497
México/Telecomunicaciones/amx,-0.019988638664099986,-0.02138025570392552,-0.019855004823913138,-0.025312241601442714,-0.02827031311435437,-0.03289556339602853,-0.028961639918631443,-0.032633977006043195,2023-09-08,-0.0160877706735144
México/Bebidas y Comercio Minorista/fmx,-0.020300827324879457,-0.020619756953139626,-0.01857993149067713,-0.0241224010581812,-0.028711847494924152,-0.03419459963661202,-0.027828796792374634,-0.03155848956150717,2023-09-08,-0.0293836484544188
México/Servicios Financieros/gbooy,-0.03242494859843603,-0.030099041342167593,-0.03136942086586845,-0.04022198081126874,-0.04585922358189301,-0.050855014015453344,-0.046141921375434804,-0.052099072499954255,2023-09-08,-0.0196940628304144
México,-0.018443559411515795,-0.017977346894418277,-0.017787079889543943,-0.02282201936361398,-0.026085078042018123,-0.028697383464278317,-0.026189115984409265,-0.029577425420009372,2023-09-09,0.0027715761930762
México/Telecomunicaciones/amx,-0.01990918624346871,-0.02138025570392552,-0.019835237986003718,-0.025270782907513525,-0.02815794203963112,-0.03289556339602853,-0.028905675307865156,-0.03256341529960311,2023-09-09,-0.0003716175748249
México/Bebidas y Comercio Minorista/fmx,-0.019695279864121062,-0.018986009987372276,-0.0181854169079119,-0.0235625617662688,-0.027855410165253065,-0.02817682006724549,-0.027158400502489254,-0.03077684135318449,2023-09-09,0.0017228573217822
México/Servicios Financieros/gbooy,-0.032391243984431564,-0.030099041342167593,-0.03138904058197975,-0.04023239859711312,-0.04581155450310696,-0.050855014015453344,-0.046146185587556815,-0.05209714445926178,2023-09-09,0.001360529260211
México,-0.01839341792021199,-0.01796717976737074,-0.017779165251555172,-0.022800376762650947,-0.026014161973995677,-0.02868084273394234,-0.026158301222493702,-0.029537384828306652,2023-09-10,0.0
México/Telecomunicaciones/amx,-0.01977987641388845,-0.02138025570392552,-0.0197956638886475,-0.02519590503737218,-0.027975056679981125,-0.03289556339602853,-0.028807188872758672,-0.03244117190480995,2023-09-10,0.0
México/Bebidas y Comercio Minorista/fmx,-0.019691870066047147,-0.018986009987372276,-0.01820186373881756,-0.023578077664569912,-0.027850587622766494,-0.02817682006724549,-0.027173293861578865,-0.030791108260011003,2023-09-10,0.0
México/Servicios Financieros/gbooy,-0.03235794482136651,-0.030099041342167593,-0.0314153879228346,-0.0402496547026721,-0.045764458861321924,-0.050855014015453344,-0.04615736214404316,-0.052102203252875005,2023-09-10,0.0
México,-0.018385612969685602,-0.017964898519780642,-0.017789453911916147,-0.022808541266213,-0.02600312328352101,-0.02867727685286381,-0.026165043732885793,-0.029542695691021092,2023-09-11,0.0
México/Telecomunicaciones/amx,-0.019778341738710976,-0.02138025570392552,-0.01980230022754838,-0.02520212238396644,-0.027972886159590763,-0.03289556339602853,-0.028813126028135096,-0.03244682710779001,2023-09-11,0.0
México/Bebidas y Comercio Minorista/fmx,-0.019688452650833264,-0.018986009987372276,-0.018218209528737678,-0.023593490442277303,-0.02784575430721351,-0.02817682006724549,-0.027188082709385865,-0.03080526925612465,2023-09-11,0.0
México/Servicios Financieros/gbooy,-0.03234275318496191,-0.030099041342167593,-0.031440616549370255,-0.04027073575526381,-0.045742973040046424,-0.050855014015453344,-0.04617566960443273,-0.052117719687286033,2023-09-11,0.0
México,-0.01844229997584526,-0.01836436872012197,-0.017799306904594272,-0.022833813730428736,-0.026083296798114934,-0.02869248593675708,-0.026200640018826236,-0.029588686680346574,2023-09-12,0.0022111115445728
México/Telecomunicaciones/amx,-0.019780240259329486,-0.02138025570392552,-0.019794949755955894,-0.025195290240646144,-0.027975571273531803,-0.03289556339602853,-0.028806640504615517,-0.03244069038279523,2023-09-12,0.022583646279142
México/Bebidas y Comercio Minorista/fmx,-0.019819787470259642,-0.020619756953139626,-0.01825295353535649,-0.023664091078193793,-0.028031503648646615,-0.02817682006724549,-0.02728266162001416,-0.030923977160045232,2023-09-12,0.0174446946231796
México/Servicios Financieros/gbooy,-0.03239398685992494,-0.030099041342167593,-0.03141819175643961,-0.04026229862302156,-0.04581543380426071,-0.050855014015453344,-0.04617658639020037,-0.05212804918633811,2023-09-12,0.0139390193074751
México,-0.018442312032129784,-0.018327247463307727,-0.01780004718303327,-0.022834635178778553,-0.026083313849548206,-0.0286404715871661,-0.02620149904497597,-0.029589575392067545,2023-09-13,0.0143408847720456
México/Telecomunicaciones/amx,-0.019841950289230775,-0.02138025570392552,-0.01979573505354758,-0.025212923421196694,-0.02806284894646002,-0.03289556339602853,-0.028835540309324913,-0.03248092762950255,2023-09-13,-0.0161773952471568
México/Bebidas y Comercio Minorista/fmx,-0.019905033436943255,-0.020619756953139626,-0.01840398763805539,-0.023838398773073706,-0.02815206864611239,-0.02817682006724549,-0.027472532980463808,-0.031129510013519254,2023-09-13,0.0016904055803466
México/Servicios Financieros/gbooy,-0.03239427076753308,-0.030099041342167593,-0.0314114269198655,-0.040255611298031235,-0.04581583534020883,-0.050855014015453344,-0.04616995089925262,-0.05212146585524257,2023-09-13,-4.821461527232829e-05
México,-0.0184423167274372,-0.018318404948455196,-0.017799513134112627,-0.02283405703005003,-0.026083320490211094,-0.028627495761088823,-0.026200901138996795,-0.02958896234136773,2023-09-14,-0.0097879451413742
México/Telecomunicaciones/amx,-0.01986730474806855,-0.02138025570392552,-0.019861391476043728,-0.02528550204022503,-0.028098708241444236,-0.03289556339602853,-0.02891274798393681,-0.032562793456232045,2023-09-14,0.0068360079793949
México/Bebidas y Comercio Minorista/fmx,-0.019913897225549353,-0.020619756953139626,-0.01838419985562386,-0.02382103095500205,-0.028164604871489456,-0.02817682006724549,-0.027456783456452423,-0.03111538895556702,2023-09-14,0.0028929347446731
México/Servicios Financieros/gbooy,-0.03239535481410355,-0.030099041342167593,-0.0314004365001623,-0.040244916841395466,-0.04581736852796077,-0.050855014015453344,-0.04615945436093418,-0.05211116847928291,2023-09-14,-1.947079771103433e-05
México,-0.0184659463998445,-0.01832268566656574,-0.017802647728921678,-0.022843665487812786,-0.02611674038683185,-0.02863612349533492,-0.026214834081906356,-0.0296072446129254,2023-09-15,0.0043932913276696
México/Telecomunicaciones/amx,-0.019844533178000393,-0.02138025570392552,-0.019861377107034787,-0.025279270647048196,-0.028066501975337256,-0.03289556339602853,-0.02890235910255465,-0.03254822095420892,2023-09-15,0.001835072773253
México/Bebidas y Comercio Minorista/fmx,-0.019869449876991994,-0.020619756953139626,-0.018389805506273164,-0.023814501726969164,-0.028101742138217072,-0.02817682006724549,-0.027442139314655053,-0.031092578892653794,2023-09-15,0.0271634882106595
México/Servicios Financieros/gbooy,-0.032516318626727374,-0.030099041342167593,-0.031389030162739,-0.04026653567282404,-0.04598844995655868,-0.050855014015453344,-0.046203157994717144,-0.05217709573233271,2023-09-15,0.0110193112628221
México,-0.01841393991431282,-0.01830229245740101,-0.017722264555965303,-0.02274905869247033,-0.026043186621882455,-0.028605004804613997,-0.026110721063493447,-0.029493568251880337,2023-09-16,-0.0076545265166286
México/Telecomunicaciones/amx,-0.019859419062431827,-0.02138025570392552,-0.019903850987974443,-0.025325808626466516,-0.028087555365762316,-0.03289556339602853,-0.028951614851927536,-0.03260021155643473,2023-09-16,-0.0152944936441044
México/Bebidas y Comercio Minorista/fmx,-0.01986143425699729,-0.020619756953139626,-0.018378456873904343,-0.023800964694631496,-0.028090405493893064,-0.02817682006724549,-0.027427138841479237,-0.03107610577999113,2023-09-16,0.0058506904441431
México/Servicios Financieros/gbooy,-0.0324058389582351,-0.030099041342167593,-0.031151503871821896,-0.039998846561907185,-0.04583219645307941,-0.050855014015453344,-0.045915298209696136,-0.05186893848779847,2023-09-16,-0.0056424488064746
México,-0.018399307245684074,-0.018302821044334793,-0.017688053760896386,-0.022710818856452163,-0.02602249135939936,-0.028605569212572297,-0.026069794314537504,-0.02944994127857394,2023-09-17,0.0
México/Telecomunicaciones/amx,-0.019859165514085748,-0.02138025570392552,-0.019897560374602045,-0.025319448790102873,-0.028087196767497883,-0.03289556339602853,-0.028945208724322005,-0.03259375884661765,2023-09-17,0.0
México/Bebidas y Comercio Minorista/fmx,-0.019804999701422354,-0.020619756953139626,-0.018269031776207357,-0.023676132007784366,-0.02801058902497874,-0.02817682006724549,-0.027292002692970344,-0.030930601406065183,2023-09-17,0.0
México/Servicios Financieros/gbooy,-0.03240001931922802,-0.030099041342167593,-0.03112430143728928,-0.03997005526739491,-0.04582396562657306,-0.050855014015453344,-0.04588544440256577,-0.05183801548948804,2023-09-17,0.0
México,-0.01835904076757219,-0.018289695924155237,-0.017687281081680422,-0.022699035760640196,-0.02596554171098334,-0.028584672825648503,-0.026050651734813423,-0.029423394694686335,2023-09-18,0.0
México/Telecomunicaciones/amx,-0.019817750474414808,-0.02138025570392552,-0.01990533411617932,-0.02531591552466316,-0.028028622686550406,-0.03289556339602853,-0.028934114164758103,-0.03257505546542682,2023-09-18,0.0
México/Bebidas y Comercio Minorista/fmx,-0.019800265793456524,-0.020619756953139626,-0.018286794640132,-0.023692602434685826,-0.02800389376860348,-0.02817682006724549,-0.027307608833110984,-0.030945337826857572,2023-09-18,0.0
México/Servicios Financieros/gbooy,-0.03234094578760492,-0.030099041342167593,-0.031145566759942445,-0.039975192515756985,-0.0457404168034731,-0.050855014015453344,-0.04587979638182981,-0.05182151440743513,2023-09-18,0.0
México,-0.01838808475815592,-0.01830593300010433,-0.01768557891034494,-0.02270522941371915,-0.02600661918112477,-0.028583096010461783,-0.026062132913018395,-0.029440200179712342,2023-09-19,0.0082644419660002
México/Telecomunicaciones/amx,-0.019839353648690862,-0.02138025570392552,-0.019892092161078036,-0.025308571601896736,-0.02805917646819162,-0.03289556339602853,-0.0289307144119361,-0.03257562467414507,2023-09-19,0.0206473334264771
México/Bebidas y Comercio Minorista/fmx,-0.019907901345129823,-0.020689170090158724,-0.018306357080436684,-0.02374155120294571,-0.028156124783390173,-0.02817682006724549,-0.027376209014743587,-0.03103371294339076,2023-09-19,0.0018613734738659
México/Servicios Financieros/gbooy,-0.03234117066436176,-0.030099041342167593,-0.03113803164649814,-0.03996771879747463,-0.04574073485096172,-0.050855014015453344,-0.045872363720113225,-0.05181412306035073,2023-09-19,0.0101551391258933
México,-0.018400003209640033,-0.018310361649391493,-0.017675298879081123,-0.022698203265349923,-0.02602347567450365,-0.02858993526870281,-0.02605728284317327,-0.029437539894074872,2023-09-20,0.004918041330058
México/Telecomunicaciones/amx,-0.019847428288454476,-0.02138025570392552,-0.019879521732861366,-0.02529820568704507,-0.028070596585301092,-0.03289556339602853,-0.028921822713376018,-0.03256821645825581,2023-09-20,0.0047385117785996
México/Bebidas y Comercio Minorista/fmx,-0.019910961012333576,-0.020689170090158724,-0.018289614886521643,-0.02372564434997969,-0.028160452129105375,-0.02817682006724549,-0.02736086077632517,-0.031018926830764716,2023-09-20,0.0106827466280106
México/Servicios Financieros/gbooy,-0.032358851347242534,-0.030099041342167593,-0.031110865366076275,-0.03994537964282607,-0.04576574097816801,-0.050855014015453344,-0.0458532525919169,-0.05179826024878891,2023-09-20,0.0067119689131005
México,-0.018367832098236236,-0.018281473117467913,-0.017668899129392547,-0.022683044480102745,-0.02597797545771022,-0.028545305156758148,-0.02603626133068294,-0.02941061624843959,2023-09-21,-0.0065252276165008
México/Telecomunicaciones/amx,-0.019843483600991276,-0.02138025570392552,-0.01993075106025918,-0.025348358047978994,-0.028065017538543735,-0.03289556339602853,-0.028971254878401062,-0.03261692390048643,2023-09-21,-0.0058951706265688
México/Bebidas y Comercio Minorista/fmx,-0.019852028127991042,-0.020689170090158724,-0.018328177120013573,-0.023748116908269397,-0.028077102226138358,-0.02817682006724549,-0.02737257374400139,-0.031019812577013996,2023-09-21,0.0179227658798823
México/Servicios Financieros/gbooy,-0.03239960175489101,-0.030099041342167593,-0.031112510726526706,-0.03995815055449865,-0.04582337505736266,-0.050855014015453344,-0.0458734634534328,-0.05182595782492553,2023-09-21,0.0018157813201481
México,-0.018485026202500046,-0.018332187417844235,-0.01788357434998942,-0.022929696981733333,-0.02614372531583561,-0.028621066676453796,-0.026304301400167332,-0.029700180172015214,2023-09-22,-0.0273672680608789
México/Telecomunicaciones/amx,-0.020041349177478948,-0.02138025570392552,-0.02025671507022724,-0.025728342710336704,-0.028344862599323447,-0.03289556339602853,-0.029387364577285673,-0.0330693857045378,2023-09-22,-0.0154183234376027
México/Bebidas y Comercio Minorista/fmx,-0.019925349545891934,-0.020689170090158724,-0.01848528587838534,-0.023925243655113188,-0.028180802106699484,-0.02817682006724549,-0.027563087048259015,-0.03122379658164216,2023-09-22,-0.0216704086005838
México/Servicios Financieros/gbooy,-0.03241906338485487,-0.030099041342167593,-0.03130597018215338,-0.04015692336460505,-0.04585090001201513,-0.050855014015453344,-0.04607578944396501,-0.05203185932986363,2023-09-22,-0.0212704800326916
