Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Perú,-0.044481845526021,-0.01607206789511555,-0.04289493413894646,-0.05503901221021712,-0.06291152299348336,-0.11055589222067036,-0.06316012481040233,-0.07133230657296245,2023-09-02,0.0106767294338097
Perú/Servicios Financieros y Bancarios/bap,-0.023705302965726264,-0.02516631950226434,-0.023048255352412176,-0.02952020441012291,-0.03352686236283462,-0.03885016940766927,-0.03384816761989089,-0.03820333480822568,2023-09-02,0.0183485700513834
Perú/Minería/scco,-0.03079972547989146,-0.032644563816197535,-0.02878837341487387,-0.03719721993269882,-0.04356063951050942,-0.048768019552476644,-0.04282043761275346,-0.048479000762681655,2023-09-02,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.12507298805387634,-0.0,-0.12081344797702495,-0.15496049129263656,-0.1768931138257781,-0.3240475726673344,-0.1777955207210969,-0.20077408271234382,2023-09-02,0.0095783488301137
Perú,-0.044458423594242305,-0.016048541503940764,-0.04289146529259485,-0.05502919909189728,-0.06287839690839804,-0.11055514544312475,-0.06314605830379953,-0.07131395468861143,2023-09-03,0.0
Perú/Servicios Financieros y Bancarios/bap,-0.023620002187496575,-0.02516631950226434,-0.023043957842212612,-0.029492618343262254,-0.03340621984435324,-0.03885016940766927,-0.033805007880317574,-0.038144503505583856,2023-09-03,0.0
Perú/Minería/scco,-0.030691803307544945,-0.032644563816197535,-0.0287892685846881,-0.037168650522261364,-0.04340800312263489,-0.048768019552476644,-0.04277216445956658,-0.04841090001629434,2023-09-03,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.12507298805387634,-0.0,-0.12081344797702495,-0.15496049129263656,-0.1768931138257781,-0.3240475726673344,-0.1777955207210969,-0.20077408271234382,2023-09-03,0.0
Perú,-0.04441090808908225,-0.015916875214053258,-0.04287148551328335,-0.05499630227785281,-0.06281119482269153,-0.1105495754560904,-0.06310451161233255,-0.0712636979546261,2023-09-04,0.0
Perú/Servicios Financieros y Bancarios/bap,-0.02350100569986877,-0.02516631950226434,-0.023020291898111948,-0.029436464343341878,-0.0332379208410405,-0.03885016940766927,-0.03372712825970847,-0.038044761705056905,2023-09-04,0.0
Perú/Minería/scco,-0.030421161186845368,-0.03234061798450419,-0.028688270191388254,-0.03699376224784205,-0.04302522880655044,-0.048768019552476644,-0.042547864070773746,-0.04813687692682326,2023-09-04,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.12507298805387634,-0.0,-0.12081344797702495,-0.15496049129263656,-0.1768931138257781,-0.3240475726673344,-0.1777955207210969,-0.20077408271234382,2023-09-04,0.0
Perú,-0.04441090808908225,-0.015916875214053258,-0.04287148551328335,-0.0549963022778528,-0.06281119482269153,-0.1105495754560904,-0.06310451161233255,-0.0712636979546261,2023-09-05,0.0
Perú/Servicios Financieros y Bancarios/bap,-0.02350100569986877,-0.02516631950226434,-0.023020291898111948,-0.029436464343341878,-0.0332379208410405,-0.03885016940766927,-0.03372712825970847,-0.038044761705056905,2023-09-05,0.0
Perú/Minería/scco,-0.030421161186845368,-0.03234061798450419,-0.028688270191388254,-0.03699376224784205,-0.04302522880655044,-0.048768019552476644,-0.042547864070773746,-0.04813687692682326,2023-09-05,0.0
Perú/Servicios Financieros y Bancarios/xvolb,-0.12507298805387634,-0.0,-0.12081344797702495,-0.15496049129263656,-0.1768931138257781,-0.3240475726673344,-0.1777955207210969,-0.20077408271234382,2023-09-05,0.0
Perú,-0.04444397313183473,-0.01597543585828355,-0.042906181516655074,-0.05504005526881001,-0.06285795934365067,-0.1105012729247436,-0.06315431488737666,-0.07131958644701718,2023-09-06,-0.0317616375218889
Perú/Servicios Financieros y Bancarios/bap,-0.02374225290941493,-0.02516631950226434,-0.023389301215306704,-0.029871338233233936,-0.03357912137332504,-0.03885016940766927,-0.034206047528344885,-0.038568003205423994,2023-09-06,-0.0345750713293593
